country,ym,cpv_division,n,sb,ge3,sum_offers
FI,201905,45,61,5,47,317
FR,201905,71,479,35,385,2609
PL,201905,45,150,31,90,493
FR,201905,45,1419,160,969,6796
DE,201905,45,1440,141,1077,6626
ES,201905,45,75,6,42,549
IT,201905,45,37,1,32,986
BG,201905,45,150,58,75,496
UK,201905,45,438,24,393,11840
RO,201905,45,78,39,25,193
AT,201905,45,97,2,83,585
DE,201905,39,84,11,55,302
DE,201905,32,63,16,31,199
UK,201905,44,127,12,94,674
DE,201905,44,73,15,47,249
DE,201905,31,21,7,6,45
DE,201905,42,63,22,21,155
DE,201905,48,58,20,25,151
CZ,201905,45,102,38,54,271
DE,201905,51,18,4,11,48
FR,201905,90,373,56,252,1578
FR,201905,37,16,2,8,55
LV,201905,38,22,13,7,60
BG,201905,09,70,50,14,138
PL,201905,39,73,25,28,184
GR,201905,44,16,1,9,44
FR,201905,30,186,21,132,827
BG,201905,15,64,24,21,156
CZ,201905,42,40,33,4,62
HU,201905,38,45,28,7,81
BE,201905,44,20,4,1,37
PL,201905,44,122,43,42,266
LT,201905,33,657,72,544,10515
PT,201905,33,343,259,70,958
PT,201905,09,41,1,38,163
SE,201905,33,131,7,119,1679
FI,201905,30,30,0,29,192
BG,201905,33,426,65,324,5993
DE,201905,34,345,151,74,767
PL,201905,33,5198,2691,1430,10490
GR,201905,39,3,0,3,15
FR,201905,18,43,8,22,120
CZ,201905,48,23,17,2,31
FR,201905,09,81,11,54,282
PL,201905,64,80,61,4,104
PL,201905,31,25,6,15,70
UK,201905,38,21,8,9,56
LT,201905,14,9,0,1,20
FR,201905,32,75,20,42,225
ES,201905,33,627,215,347,4526
BE,201905,24,5,3,1,8
BE,201905,42,13,7,1,22
PL,201905,30,200,78,70,469
HR,201905,34,29,13,7,57
HR,201905,33,569,8,298,1661
HR,201905,09,7,2,1,14
BG,201905,38,20,9,6,39
IT,201905,33,591,172,305,2145
RO,201905,34,116,33,68,1400
RO,201905,44,150,33,83,552
RO,201905,15,1047,172,653,4250
RO,201905,14,14,6,3,26
RO,201905,09,179,97,54,426
RO,201905,33,4420,1289,2337,24588
RO,201905,30,61,13,36,264
RO,201905,55,3,3,0,3
RO,201905,43,9,4,2,17
SK,201905,30,5,1,3,12
SK,201905,34,22,11,11,47
EE,201905,15,51,8,28,140
BG,201905,34,29,16,8,56
EE,201905,30,18,1,13,102
BG,201905,35,17,9,2,27
EE,201905,33,247,64,121,683
EE,201905,34,6,3,0,9
IT,201905,34,54,29,8,90
UK,201905,33,51,7,35,236
DE,201905,24,4,2,1,7
DE,201905,38,59,39,12,115
DE,201905,33,329,137,140,951
FR,201905,03,36,20,11,78
FR,201905,55,127,19,80,498
DE,201905,30,62,17,34,211
DE,201905,65,7,1,4,22
DE,201905,09,68,37,17,159
AT,201905,33,17,6,7,43
DE,201905,43,10,5,2,17
FR,201905,33,568,61,433,8844
UK,201905,72,25,6,16,123
DE,201905,90,376,30,306,4172
FR,201905,22,106,15,70,441
IT,201905,38,15,10,3,25
UK,201905,18,19,0,16,137
LT,201905,09,7,2,2,16
DE,201905,72,101,25,61,473
PL,201905,09,73,35,19,151
BE,201905,15,13,4,2,38
HR,201905,15,16,3,9,40
DE,201905,35,43,20,20,144
CZ,201905,30,49,14,25,169
ES,201905,34,77,27,36,189
NL,201905,15,3,1,1,7
ES,201905,48,24,10,8,52
NL,201905,34,17,9,5,36
AT,201905,34,17,5,5,36
ES,201905,35,45,21,17,117
ES,201905,31,80,55,22,177
ES,201905,44,70,7,40,514
ES,201905,09,60,16,32,171
ES,201905,18,30,12,5,53
ES,201905,30,109,5,93,556
FR,201905,34,254,94,92,692
HR,201905,39,20,6,6,46
UK,201905,42,24,6,14,93
ES,201905,03,21,7,7,44
GR,201905,15,83,14,54,470
NL,201905,18,5,0,4,17
ES,201905,39,41,2,34,522
SE,201905,44,16,3,9,41
UK,201905,60,260,74,168,1205
IE,201905,42,2,0,2,7
CZ,201905,33,172,125,16,255
EE,201905,48,3,3,0,3
CZ,201905,34,51,29,13,99
DK,201905,31,2,0,1,9
DK,201905,33,124,43,49,313
NL,201905,48,18,3,7,41
UK,201905,39,26,3,22,281
BG,201905,31,26,3,18,95
DE,201905,76,1,1,0,1
BG,201905,39,28,2,23,126
