country,ym,cpv_division,n,sb,ge3,sum_offers
GR,201808,73,24,0,0,48
DE,201808,79,439,13,409,4001
LU,201808,30,88,1,85,287
LU,201808,72,204,26,128,635
BE,201808,85,66,18,24,138
BE,201808,50,52,1,3,106
BE,201808,45,157,3,144,1353
FR,201808,39,315,49,205,2353
DE,201808,45,1123,152,764,4916
FR,201808,45,2028,324,1287,9856
LU,201808,39,1,0,0,2
DE,201808,39,73,27,30,198
AT,201808,71,15,0,11,57
SE,201808,31,12,1,7,86
CZ,201808,45,48,4,33,209
NL,201808,45,61,8,42,261
BG,201808,45,142,33,88,646
DK,201808,45,31,5,23,98
PL,201808,45,203,46,100,607
AT,201808,45,66,3,55,255
NL,201808,50,12,0,9,42
NL,201808,92,7,0,6,49
DE,201808,51,9,3,2,21
FI,201808,45,91,11,55,472
DE,201808,42,89,37,16,177
IT,201808,45,27,3,21,611
DE,201808,44,55,8,35,209
SE,201808,45,148,9,122,1079
DE,201808,34,471,189,156,1598
NL,201808,30,28,3,18,88
BG,201808,35,11,6,4,25
FR,201808,35,36,8,22,171
FR,201808,24,36,4,17,98
IE,201808,34,3,1,2,13
BG,201808,33,341,91,218,2955
BG,201808,30,48,4,42,206
PL,201808,09,109,31,64,282
BG,201808,15,49,17,25,195
FR,201808,03,114,17,74,360
FR,201808,33,668,190,367,5373
FR,201808,31,70,25,33,172
FR,201808,42,49,11,18,114
NL,201808,48,28,8,11,66
DE,201808,38,51,33,13,101
NL,201808,44,9,1,6,27
FR,201808,34,374,102,173,1056
DK,201808,24,2,0,1,5
ES,201808,38,51,12,29,203
SE,201808,33,101,5,92,905
CZ,201808,33,266,168,43,434
CZ,201808,48,47,27,8,82
DK,201808,31,2,0,1,12
DK,201808,33,62,17,28,219
NL,201808,38,13,10,3,21
CZ,201808,30,147,30,31,313
IT,201808,33,501,147,252,1615
ES,201808,33,470,145,239,2494
NL,201808,32,4,0,2,15
PL,201808,19,11,6,2,18
PL,201808,38,112,81,8,154
PL,201808,33,7561,4044,1848,15226
BG,201808,32,2,1,1,8
SI,201808,34,91,78,3,107
CZ,201808,34,81,40,22,170
DK,201808,48,1,0,1,9
DK,201808,34,11,3,6,29
CZ,201808,44,15,2,8,50
CZ,201808,39,51,30,15,105
CZ,201808,79,30,7,18,177
CZ,201808,38,85,64,11,133
CZ,201808,09,40,14,21,234
SI,201808,09,20,14,4,33
PL,201808,34,98,49,19,182
FR,201808,30,147,22,95,563
FR,201808,09,105,14,67,320
FR,201808,22,46,8,34,204
BG,201808,34,28,9,12,67
DE,201808,33,417,106,254,1767
FR,201808,15,294,42,191,1534
FR,201808,44,154,29,80,486
SK,201808,33,27,11,10,61
HR,201808,24,3,3,0,3
PT,201808,38,3,1,1,9
PL,201808,15,47,25,12,83
HR,201808,09,12,1,7,43
IT,201808,15,80,53,6,132
HR,201808,33,186,91,58,377
ES,201808,15,33,4,21,109
LT,201808,33,573,134,362,4269
HU,201808,44,17,0,7,53
PL,201808,48,51,25,16,104
SI,201808,30,95,80,5,131
ES,201808,22,1,1,0,1
SE,201808,09,13,1,7,36
CZ,201808,42,39,23,7,63
BE,201808,34,30,5,19,108
HU,201808,30,12,0,9,56
EE,201808,34,15,3,3,33
FI,201808,44,16,6,4,37
HU,201808,42,40,27,5,59
GR,201808,43,1,0,1,4
BE,201808,33,42,12,18,130
BE,201808,44,8,2,3,23
FI,201808,09,5,1,4,29
FR,201808,48,70,17,45,245
DE,201808,48,35,15,15,83
DE,201808,09,114,2,108,798
SE,201808,34,49,14,27,180
LT,201808,35,3,1,1,6
UK,201808,34,40,5,32,177
LT,201808,34,20,3,10,51
DE,201808,35,22,7,10,60
DE,201808,30,52,11,32,176
HU,201808,18,3,2,1,5
DE,201808,31,31,8,18,92
DE,201808,18,22,8,10,99
PL,201808,43,39,17,16,90
FI,201808,33,31,3,19,99
PL,201808,30,235,108,61,543
DE,201808,43,6,2,2,12
SK,201808,42,21,2,12,54
CZ,201808,14,1,0,1,3
IT,201808,32,10,3,7,37
PL,201808,42,97,31,45,338
LT,201808,44,24,9,7,46
BG,201808,09,54,41,10,87
DE,201808,71,415,56,280,1694
UK,201808,24,3,0,3,33
SE,201808,38,14,4,7,36
LT,201808,32,3,0,1,10
LT,201808,98,3,3,0,3
BG,201808,50,48,21,13,114
UK,201808,85,1269,585,476,4255
NL,201808,77,18,1,16,115
BE,201808,79,280,36,213,1879
FR,201808,90,456,89,305,1966
BG,201808,90,21,7,8,58
BE,201808,66,10,1,7,34
ES,201808,79,71,11,53,383
FR,201808,72,195,32,140,1542
FR,201808,85,62,26,31,230
NL,201808,79,135,5,108,864
FR,201808,71,671,86,480,3281
ES,201808,72,53,17,31,196
DE,201808,80,119,39,52,298
LU,201808,90,1,0,1,5
SE,201808,48,13,6,2,22
MT,201808,34,3,0,2,12
NL,201808,98,28,0,4,70
BG,201808,72,16,8,6,34
FR,201808,55,173,25,101,587
ES,201808,71,135,8,112,1069
SE,201808,71,162,7,137,1784
NL,201808,39,13,4,6,34
IT,201808,92,15,0,9,48
ES,201808,50,122,20,90,624
CZ,201808,71,62,9,39,224
FR,201808,50,413,85,242,1467
SE,201808,72,13,1,9,45
CZ,201808,72,22,13,7,46
FR,201808,70,6,1,3,22
DK,201808,98,3,0,1,7
ES,201808,90,88,16,60,383
ES,201808,55,19,13,4,36
BG,201808,71,123,54,47,428
ES,201808,98,17,4,10,82
IT,201808,55,15,5,6,46
ES,201808,77,17,8,6,70
IT,201808,50,61,14,40,232
IT,201808,98,20,7,10,102
IT,201808,75,3,1,2,8
PL,201808,90,237,99,76,541
PL,201808,66,57,13,24,138
PL,201808,71,335,114,139,934
CZ,201808,92,6,2,2,12
SI,201808,60,67,41,10,105
SI,201808,45,15,4,7,38
DK,201808,90,22,4,12,93
UK,201808,45,156,56,53,403
PL,201808,50,179,77,41,343
PL,201808,64,122,70,18,197
FR,201808,92,52,14,27,182
FR,201808,64,59,11,39,176
FR,201808,80,152,51,73,1147
AT,201808,75,1,0,0,2
FR,201808,79,461,39,373,3371
PL,201808,77,140,34,81,461
FR,201808,63,17,2,12,77
IE,201808,79,52,1,48,668
CZ,201808,90,26,9,9,68
DE,201808,90,528,70,409,8860
BG,201808,55,3,2,1,5
BG,201808,48,8,7,1,10
MT,201808,79,2,1,1,6
SI,201808,71,23,4,17,73
NL,201808,72,24,4,10,88
FI,201808,90,12,2,9,45
HU,201808,79,28,3,24,86
FI,201808,71,44,7,27,186
SE,201808,18,5,3,2,9
HU,201808,72,26,20,1,33
FI,201808,39,4,0,3,12
FI,201808,55,6,2,2,18
BE,201808,73,484,4,456,2452
SE,201808,90,84,7,69,713
FI,201808,66,1,0,0,2
PL,201808,72,61,36,12,110
HU,201808,90,17,4,4,44
IT,201808,71,46,6,33,292
FR,201808,75,32,14,10,92
DE,201808,66,4,1,3,36
DE,201808,72,130,37,72,680
LT,201808,50,302,111,141,835
UK,201808,60,783,66,653,5376
IT,201808,34,77,29,27,199
FR,201808,60,870,116,634,6908
FR,201808,98,34,12,13,96
BE,201808,72,181,36,111,599
SE,201808,60,20,4,11,66
PT,201808,92,1,1,0,1
BE,201808,77,4,0,2,14
FI,201808,60,157,16,100,660
CZ,201808,50,12,9,3,21
UK,201808,71,86,4,77,976
DE,201808,37,6,0,2,16
NL,201808,80,3,1,2,19
FR,201808,66,104,5,81,375
FR,201808,77,247,36,178,5921
CZ,201808,77,219,40,145,903
BG,201808,79,30,8,17,90
UK,201808,64,1,1,0,1
LT,201808,71,53,10,35,235
UK,201808,79,351,127,192,6157
BG,201808,77,7,3,4,21
PL,201808,80,138,69,46,292
ES,201808,60,67,20,27,208
SE,201808,79,114,2,105,1150
ES,201808,85,117,68,32,273
DK,201808,85,10,1,8,121
HU,201808,85,4,2,1,7
NL,201808,55,4,1,0,7
ES,201808,45,42,5,31,603
DK,201808,35,3,1,0,5
HR,201808,34,23,14,3,40
CZ,201808,43,2,0,1,5
HU,201808,31,17,5,5,49
AT,201808,34,7,5,1,10
PL,201808,44,67,13,35,201
PL,201808,31,65,42,16,117
ES,201808,64,23,10,7,50
BE,201808,90,139,29,81,487
PL,201808,79,131,41,60,426
RO,201808,45,31,3,24,186
RO,201808,33,1977,463,1154,20979
RO,201808,15,84,10,55,288
DE,201808,65,39,3,31,196
FR,201808,16,11,1,3,26
FR,201808,32,65,10,33,240
GR,201808,32,4,4,0,4
ES,201808,65,3,1,1,10
UK,201808,35,24,0,18,94
PL,201808,35,23,18,2,37
RO,201808,79,26,6,10,78
IT,201808,90,84,32,43,433
IT,201808,79,46,12,26,221
IT,201808,72,20,12,5,46
ES,201808,92,13,7,6,43
IT,201808,80,19,5,5,48
IT,201808,64,4,0,0,8
FR,201808,73,9,2,6,32
GR,201808,31,3,0,1,8
RO,201808,31,47,10,25,204
ES,201808,34,42,11,26,147
GR,201808,55,1,0,1,3
MK,201808,75,1,0,1,10
NO,201808,45,45,2,38,378
NO,201808,24,1,0,1,4
NO,201808,39,8,2,4,22
NO,201808,79,20,0,19,90
NO,201808,55,2,0,2,9
NO,201808,90,36,2,21,116
NO,201808,64,4,2,1,7
NO,201808,73,7,3,4,22
CH,201808,45,145,19,106,715
CH,201808,34,8,1,6,32
CH,201808,90,37,4,28,167
CH,201808,71,35,6,21,113
CH,201808,42,3,0,3,11
LV,201808,79,24,24,0,24
LB,201808,79,24,0,24,72
BE,201808,31,29,24,3,41
HU,201808,45,87,1,77,312
PT,201808,45,14,0,13,120
ES,201808,31,42,24,13,151
DE,201809,45,2,0,0,4
RO,201808,34,73,26,39,274
BG,201808,39,24,3,14,91
HU,201808,39,5,3,2,21
CZ,201808,16,6,4,0,8
DE,201808,77,57,2,50,293
BE,201808,38,9,3,4,20
LT,201808,39,13,3,8,31
SI,201808,35,9,5,2,18
NL,201808,03,4,0,3,15
UK,201808,48,27,5,17,691
LU,201808,34,3,1,0,5
NL,201808,15,7,1,3,18
RO,201808,30,21,4,7,52
RO,201808,32,14,7,4,36
RO,201808,16,1,1,0,1
RO,201808,39,34,1,30,174
RO,201808,03,8,1,1,16
RO,201808,18,19,0,15,90
IT,201808,30,26,6,10,60
SI,201808,39,28,24,2,35
PL,201808,39,92,24,36,231
UK,201808,30,5,1,4,19
PL,201808,32,51,15,23,120
PT,201808,31,2,0,1,15
PT,201808,30,8,1,5,38
SK,201808,32,1,0,1,3
PT,201808,15,65,7,45,366
PT,201808,03,1,0,0,2
SI,201808,33,243,105,98,695
SI,201808,15,682,261,253,1724
FR,201808,38,32,4,21,98
FR,201808,18,114,28,58,378
UK,201808,42,8,3,3,27
MT,201808,33,11,3,6,45
UK,201808,15,59,1,52,412
UK,201808,33,171,8,154,5393
HU,201808,38,42,33,2,57
HR,201808,15,17,0,16,91
AT,201808,30,2,1,0,3
BE,201808,39,12,5,4,30
FI,201808,42,8,1,3,30
HR,201808,39,9,2,3,19
FI,201808,43,1,1,0,1
FR,201808,19,9,5,2,17
PT,201808,39,17,0,17,166
NL,201808,34,35,10,12,91
AT,201808,33,31,9,12,69
EE,201808,33,67,14,43,391
HU,201808,15,71,10,36,187
PT,201808,33,75,35,36,442
UK,201808,44,74,0,70,675
FR,201808,37,56,12,36,219
HU,201808,71,47,9,30,193
BE,201808,71,61,6,26,360
GR,201808,60,33,14,8,67
SE,201808,70,3,0,3,9
DE,201808,85,8,4,3,24
IE,201808,71,14,2,7,59
CZ,201808,64,27,2,9,62
DE,201808,64,26,6,6,56
DK,201808,73,1,0,1,3
SI,201808,72,9,7,1,12
RO,201808,71,25,6,8,59
RO,201808,60,34,10,9,96
RO,201808,90,16,2,7,43
PL,201808,55,14,4,4,30
PT,201808,60,9,6,2,14
PT,201808,79,16,4,8,113
PT,201808,90,15,2,13,77
PT,201808,51,2,1,1,4
UK,201808,63,10,1,5,44
UK,201808,75,6,3,2,16
IE,201808,90,1,0,1,3
HR,201808,90,22,0,15,71
BG,201808,63,5,1,4,16
HR,201808,71,11,1,7,38
SE,201808,85,76,3,71,2222
NL,201808,42,5,2,2,11
HU,201808,50,15,9,2,25
LU,201808,66,3,0,0,6
HR,201808,50,40,37,1,45
ES,201808,75,4,1,3,17
IT,201808,66,88,30,29,223
DE,201808,60,502,102,283,2217
NL,201808,64,2,0,0,4
DE,201808,73,34,31,2,42
IT,201808,48,5,4,1,7
FI,201808,92,4,0,4,24
SE,201808,77,31,1,27,215
DE,201808,63,2,0,2,203
SE,201808,50,15,2,10,64
UK,201808,98,54,9,14,129
DE,201808,75,46,12,18,141
DK,201808,66,17,3,11,56
FR,201808,65,26,3,18,85
LT,201808,72,6,3,1,10
LT,201808,79,7,2,4,20
DK,201808,71,12,1,11,57
PL,201808,85,82,30,33,221
SE,201808,63,3,1,1,8
HR,201808,80,6,6,0,6
FI,201808,85,29,9,19,155
LT,201808,38,8,4,3,17
BG,201808,31,24,4,17,80
CZ,201808,31,19,10,4,33
SI,201808,24,7,4,1,11
PL,201808,76,2,1,0,3
RO,201808,48,7,1,4,23
IT,201808,35,2,1,1,15
IT,201808,85,64,26,30,260
GR,201808,50,9,5,0,13
ES,201808,66,36,17,13,84
PT,201808,72,10,6,4,25
ES,201808,80,18,8,4,40
SI,201808,32,1,1,0,1
DE,201808,50,59,17,39,189
RO,201808,42,11,6,1,17
MK,201808,15,14,6,6,31
MK,201808,09,25,1,17,79
MK,201808,34,10,2,4,29
NO,201808,33,32,6,16,89
NO,201808,42,3,0,2,9
NO,201808,38,9,1,5,28
NO,201808,85,25,1,22,467
NO,201808,44,9,1,7,43
NO,201808,71,42,1,41,408
CH,201808,31,9,0,7,32
CH,201808,39,5,0,5,41
CH,201808,75,4,1,3,10
DE,201808,32,34,8,15,94
IT,201808,18,14,6,5,31
SE,201808,42,6,2,3,13
BG,201808,44,8,3,4,19
ES,201808,24,25,8,9,57
ES,201808,09,47,11,30,164
IT,201808,42,14,12,0,16
DK,201808,43,1,1,0,1
ES,201808,32,161,0,6,334
ES,201808,30,45,0,43,1205
DK,201808,44,5,1,1,10
RO,201808,14,7,5,2,14
BE,201808,18,3,0,3,18
HU,201808,33,265,143,49,477
UK,201808,39,21,6,12,91
SE,201808,03,6,2,1,14
NL,201808,33,16,3,13,63
UK,201808,31,37,1,33,219
CZ,201808,32,26,11,9,53
BG,201808,43,8,4,3,20
DE,201808,55,45,4,32,175
DE,201808,22,23,0,17,2468
SE,201808,30,12,1,6,39
PL,201808,03,3,0,0,6
LT,201808,30,3,2,0,4
SK,201808,09,5,1,4,19
IE,201808,39,18,1,15,61
UK,201808,32,14,3,9,84
GR,201808,72,4,1,0,7
DK,201808,79,18,2,14,122
NL,201808,60,13,0,13,72
AT,201808,60,4,0,1,11
NL,201808,90,43,5,29,158
DK,201808,55,3,0,2,11
ES,201808,48,3,0,2,12
MT,201808,72,3,1,1,6
UK,201808,50,37,8,23,125
UK,201808,90,80,4,70,545
RO,201808,55,3,1,0,5
PL,201808,98,7,1,1,14
NL,201808,71,24,2,18,98
PL,201808,60,40,11,16,101
HR,201808,72,7,6,1,12
HU,201808,76,1,0,0,2
DE,201808,70,7,1,6,37
IT,201808,63,12,1,10,46
MT,201808,66,1,0,0,2
FI,201808,70,7,0,7,28
FI,201808,98,3,0,2,11
UK,201808,43,41,0,41,1441
NL,201808,66,8,2,4,25
IT,201808,77,11,0,7,38
IT,201808,70,1,1,0,1
ES,201808,70,2,0,2,20
SE,201808,55,116,1,114,8132
SK,201808,45,7,0,6,34
NL,201808,31,6,0,5,36
HR,201808,45,5,4,0,6
CZ,201808,18,6,2,3,13
PL,201808,18,17,9,5,35
RO,201808,09,21,7,12,55
GR,201808,42,6,4,1,9
SE,201808,64,9,1,7,59
BG,201808,42,12,5,3,24
BG,201808,18,2,0,1,7
DE,201808,14,14,1,11,45
RO,201808,38,28,13,5,49
GR,201808,33,114,4,107,1920
GR,201808,15,191,67,92,494
IT,201808,31,8,6,1,16
LT,201808,45,24,4,15,89
IT,201808,65,7,3,3,16
NO,201808,50,3,2,1,5
NO,201808,22,4,2,2,19
NO,201808,80,14,6,7,52
IS,201808,34,3,1,2,9
CH,201808,32,3,0,3,12
CH,201808,98,13,0,13,186
LU,201807,79,313,24,289,3556
IT,201807,73,24,24,0,24
ES,201807,71,43,25,17,138
BE,201807,48,49,0,48,146
BE,201807,73,24,0,24,144
BE,201807,79,48,0,48,192
FR,201807,45,120,21,76,389
DE,201807,45,147,12,111,691
IE,201807,45,3,0,3,16
BG,201807,45,15,2,8,56
FR,201807,41,2,0,1,5
PL,201807,45,18,4,10,52
CZ,201807,45,10,4,6,44
PT,201807,45,1,0,0,2
ES,201807,45,4,3,1,17
MT,201808,45,6,2,2,14
CZ,201807,50,10,7,2,25
CZ,201807,30,138,60,47,336
HU,201808,34,26,8,6,52
PL,201807,39,20,6,8,51
LT,201807,35,12,1,10,45
HU,201807,38,14,6,1,23
CZ,201807,39,39,8,21,118
FR,201807,24,18,2,11,59
FR,201807,09,33,1,30,157
CY,201808,33,24,15,4,38
FR,201807,30,25,4,16,82
GR,201808,09,81,33,31,226
PL,201807,33,804,443,175,1503
FR,201807,34,54,21,19,112
BG,201807,33,79,2,76,1426
FR,201807,15,76,18,34,195
GR,201808,30,4,2,1,8
CZ,201807,38,9,6,0,12
CY,201808,15,1,0,0,2
DE,201808,98,43,5,30,205
CZ,201807,33,86,49,25,193
UK,201807,48,7,2,5,75
HU,201808,09,24,0,24,147
FR,201807,33,56,31,12,101
UK,201807,09,2,0,1,5
NL,201807,48,3,0,1,7
DE,201807,34,35,13,10,79
RO,201807,38,9,3,3,19
RO,201807,34,22,7,15,79
RO,201807,43,3,1,1,6
GR,201808,34,5,1,2,13
RO,201807,09,5,1,4,14
IT,201807,33,210,29,126,764
IT,201807,24,11,1,7,55
PL,201807,32,1,0,0,2
CZ,201807,09,7,1,6,58
PL,201807,34,20,9,4,35
CZ,201807,34,8,4,2,16
PL,201807,42,28,14,9,56
PL,201807,30,28,13,9,61
CZ,201807,48,8,5,3,18
CZ,201807,32,47,11,21,115
PL,201807,14,4,0,0,8
FR,201807,18,7,2,2,14
FR,201807,50,24,1,19,81
FR,201807,37,17,7,9,51
HR,201807,09,1,0,1,7
FR,201807,03,9,2,4,32
PL,201807,38,14,7,3,24
FR,201807,39,39,6,20,102
PL,201807,09,9,4,2,16
LU,201807,34,6,3,0,9
FR,201807,31,21,6,10,67
RO,201807,42,2,2,0,2
CZ,201807,35,7,0,6,24
CZ,201808,37,4,2,2,8
CZ,201807,18,4,2,1,7
BG,201807,39,2,1,1,4
CZ,201807,72,7,0,4,23
CZ,201807,42,9,4,3,17
LT,201807,33,53,12,34,181
CZ,201807,22,3,2,1,7
IT,201807,34,2,2,0,2
BG,201807,09,6,3,0,9
PL,201807,31,4,4,0,4
IT,201807,42,2,2,0,2
NL,201808,09,13,1,9,39
PL,201807,15,2,0,2,9
PL,201807,18,3,3,0,3
SI,201807,34,40,39,1,42
SI,201807,09,17,15,2,25
PL,201808,16,8,3,1,14
SI,201807,03,54,54,0,54
HR,201807,33,11,4,3,22
HR,201807,34,1,0,0,2
SI,201807,30,74,53,14,290
CZ,201807,24,12,5,0,19
ES,201807,32,1,1,0,1
PL,201808,24,60,34,8,103
SI,201807,15,1041,543,256,1899
ES,201807,24,6,2,3,18
PL,201808,22,7,0,7,35
BE,201808,09,9,1,7,30
BE,201808,32,2,0,0,4
SK,201807,33,1,0,1,7
FR,201807,71,70,4,55,468
HU,201807,71,10,1,8,41
FR,201807,90,108,19,70,427
UK,201807,60,61,16,29,258
CZ,201807,79,11,7,3,28
FR,201807,60,41,15,11,89
FR,201807,92,1,0,0,2
FR,201807,55,59,2,53,262
DK,201808,60,128,16,86,493
BG,201807,90,3,1,1,9
LT,201807,50,94,71,0,117
FR,201807,79,176,13,137,1063
PL,201807,63,1,1,0,1
CZ,201807,90,67,62,2,86
UK,201808,73,21,1,18,208
DE,201807,60,40,14,15,87
UK,201807,75,4,2,2,8
IT,201807,98,3,0,3,21
PL,201807,66,13,2,8,39
DE,201807,71,20,3,10,69
UK,201808,92,9,2,4,30
PL,201807,79,13,8,4,29
RO,201807,60,3,0,3,16
GR,201808,79,28,0,26,230
UK,201807,85,109,49,35,249
UK,201807,73,1,0,1,6
FR,201807,72,22,5,13,64
BE,201808,64,8,1,5,22
NL,201807,79,11,0,10,86
RO,201807,66,5,3,1,47
RO,201807,71,7,1,1,14
RO,201807,92,13,13,0,13
RO,201807,79,3,0,1,8
IT,201807,60,3,3,0,3
PL,201807,71,27,4,14,81
PL,201807,80,22,9,10,54
PL,201807,73,1,1,0,1
PL,201807,77,39,21,3,62
PL,201807,64,8,7,1,10
CZ,201807,71,16,7,8,133
PT,201807,79,1,0,1,5
PT,201807,50,2,0,0,4
PT,201807,55,1,1,0,1
PT,201808,63,3,0,3,19
FR,201807,85,14,0,14,63
FR,201807,77,27,4,17,85
PL,201807,90,48,32,7,76
FR,201807,42,4,1,2,10
HR,201807,72,5,3,1,8
DE,201807,72,3,1,0,5
FR,201807,64,17,3,10,47
BG,201807,71,20,3,16,110
BG,201807,63,1,0,1,3
UK,201808,66,53,5,35,167
FR,201807,48,6,1,4,15
LV,201808,60,17,9,6,34
CZ,201807,60,3,1,1,6
LT,201808,73,2,2,0,2
PL,201807,70,2,2,0,2
PL,201807,85,11,3,5,74
PL,201807,50,17,4,13,82
IT,201807,71,3,1,2,40
SE,201808,80,48,2,46,1233
BE,201808,98,1,0,1,3
CZ,201807,77,73,34,29,190
CZ,201807,64,5,3,2,9
SI,201807,50,25,24,0,26
HR,201807,71,1,1,0,1
SI,201807,79,15,14,1,21
HR,201807,50,1,1,0,1
ES,201807,90,16,4,8,57
HR,201807,90,1,0,0,2
CZ,201808,66,2,1,1,4
SI,201807,60,31,21,7,246
SI,201807,63,67,0,63,806
ES,201807,72,19,4,12,62
AT,201808,85,3,2,0,4
AT,201808,79,6,2,2,14
SI,201807,90,11,11,0,11
DE,201807,80,9,1,5,29
ES,201807,85,14,6,3,29
HU,201807,34,1,1,0,1
HR,201807,19,1,0,1,3
HR,201807,42,2,0,0,4
LV,201808,34,35,5,19,112
FR,201807,38,4,4,0,4
SI,201807,24,2,2,0,2
SI,201807,38,3,3,0,3
ES,201807,30,4,2,1,7
DK,201808,65,4,0,0,8
IT,201808,24,4,1,2,10
BE,201807,31,2,1,1,4
IE,201807,50,11,0,11,165
RO,201807,50,73,46,8,109
IT,201807,76,1,0,1,6
BG,201807,50,10,3,3,21
PL,201808,73,3,1,2,18
SI,201808,64,1,1,0,1
SI,201808,22,6,6,0,6
ES,201807,50,85,5,78,3457
IT,201808,38,26,12,3,43
RO,201807,33,129,34,65,1825
RO,201807,24,3,2,0,4
ES,201808,39,34,1,26,272
ES,201807,33,81,8,53,366
ES,201807,48,2,0,0,4
IT,201808,60,31,16,12,64
IT,201807,50,4,1,2,15
IT,201807,66,19,2,13,66
RO,201807,90,1,0,1,5
IT,201807,72,4,1,3,23
HR,201807,73,1,0,0,2
ES,201807,79,17,2,14,70
ES,201807,64,11,7,0,15
ES,201807,75,13,0,9,44
ES,201807,39,1,1,0,1
RO,201807,76,1,1,0,1
PL,201808,63,7,6,1,9
MK,201807,33,42,2,36,372
NO,201807,33,19,0,18,95
NO,201807,90,1,0,1,3
NO,201807,85,1,0,0,2
CH,201808,30,3,1,2,22
LU,201808,79,72,0,72,240
GR,201808,63,24,0,0,48
LU,201808,63,48,0,48,192
GR,201808,45,9,0,9,122
MT,201808,44,9,0,5,31
NL,201808,37,4,0,3,31
FR,201808,43,5,0,3,15
HU,201808,48,2,2,0,2
BE,201808,30,20,1,11,76
CZ,201808,51,3,1,1,6
GR,201808,18,1,0,1,4
SI,201808,38,12,7,1,19
SI,201808,98,3,2,1,5
SK,201808,18,1,0,0,2
SK,201808,22,6,6,0,6
UK,201808,38,13,3,6,45
BE,201808,15,10,1,8,36
AT,201808,32,6,0,2,20
FI,201808,34,7,3,3,19
NL,201808,35,4,3,1,8
DK,201808,39,8,2,5,22
UK,201808,18,3,0,3,9
LT,201808,09,11,5,6,25
SE,201808,15,12,6,4,23
NL,201808,22,12,3,9,36
DK,201808,50,1,0,1,3
LV,201808,32,1,1,0,1
PT,201808,34,20,1,12,111
LV,201808,33,94,37,53,761
LV,201808,09,8,2,4,25
LU,201808,48,2,0,2,6
HU,201808,66,2,1,1,4
LT,201808,90,6,0,6,24
UK,201808,80,257,20,225,18860
RO,201808,77,170,135,16,230
SK,201808,50,3,1,0,5
SK,201808,48,11,0,11,49
SI,201808,79,31,28,2,36
SI,201808,50,24,14,4,38
PT,201808,80,6,0,6,21
PT,201808,71,5,2,2,17
DK,201808,77,2,0,2,11
BE,201808,92,3,0,3,17
GR,201808,39,2,0,1,6
AT,201808,50,4,0,2,12
GR,201808,77,21,9,2,35
NL,201808,73,2,1,1,7
LT,201808,64,2,0,0,4
CZ,201808,80,21,11,2,37
DE,201807,79,8,0,8,52
LV,201808,77,5,4,1,7
SE,201808,66,10,0,8,39
GR,201808,71,3,1,2,12
RO,201808,44,15,8,4,51
LT,201808,42,2,0,2,8
IT,201808,44,12,6,4,23
LT,201808,76,1,0,1,3
RO,201808,50,50,37,3,66
SK,201808,72,15,9,4,27
IT,201808,09,18,1,10,66
DE,201808,16,2,1,1,6
PT,201808,77,16,0,16,117
IT,201808,22,4,0,3,17
AT,201808,90,3,1,2,23
MK,201808,72,2,2,0,2
IS,201808,30,1,0,0,2
NO,201808,19,2,0,2,8
