country,ym,cpv_division,n,sb,ge3,sum_offers
FR,201711,38,5,1,2,14
BE,201711,66,23,3,19,81
PL,201711,72,2,1,1,4
NO,201711,72,1,0,1,5
FR,201711,50,23,9,10,57
DK,201711,72,47,0,46,414
DE,201711,45,86,9,66,454
DE,201711,90,40,3,27,470
IT,201711,98,2,0,1,10
FR,201711,79,28,2,24,184
DE,201711,72,5,3,0,7
PL,201711,33,417,229,113,854
DE,201711,79,8,1,6,38
ES,201711,30,4,0,3,17
CY,201711,72,1,1,0,1
UK,201711,60,9,5,3,39
IT,201711,60,4,1,2,9
LV,201711,09,18,0,16,81
BE,201711,79,8,0,8,72
FR,201711,90,72,5,40,233
FR,201711,34,28,5,17,85
LT,201711,33,4,3,1,6
CZ,201711,64,2,2,0,2
FR,201711,72,6,2,3,25
FR,201711,77,18,6,11,60
BG,201711,33,14,1,13,365
FR,201711,66,38,4,25,150
FR,201711,60,7,3,3,18
RO,201711,90,11,7,3,20
RO,201711,50,19,14,1,25
BG,201711,71,6,1,5,38
RO,201711,44,4,3,0,5
LT,201711,50,2,0,2,9
RO,201711,33,312,70,199,2153
FI,201711,33,3,1,2,10
DE,201711,30,9,2,5,23
DK,201711,38,1,1,0,1
IT,201711,33,41,16,11,84
BG,201711,30,2,2,0,2
RO,201711,03,69,26,12,129
SE,201711,38,2,2,0,2
SK,201711,72,2,0,2,9
PL,201711,09,19,8,3,40
FR,201711,45,70,6,52,355
NL,201711,90,29,0,29,125
SE,201711,22,5,0,5,51
FR,201711,33,38,4,23,259
ES,201711,09,28,1,25,123
PL,201711,50,17,8,2,28
DK,201711,90,1,0,1,3
FR,201711,35,14,1,5,42
SE,201711,45,4,1,3,14
SE,201711,48,1,0,1,3
DE,201711,73,4,3,1,6
DE,201711,33,79,13,41,441
CZ,201711,33,23,12,6,43
DE,201711,22,2,1,0,3
PL,201711,90,43,14,9,85
HU,201711,09,5,0,5,24
UK,201711,33,20,3,12,60
FR,201711,18,15,4,11,62
PL,201711,34,11,3,5,31
SI,201711,38,1,0,0,2
SI,201711,15,93,45,35,452
SI,201711,60,1,0,1,4
FR,201711,09,5,2,3,11
ES,201711,66,2,0,1,7
ES,201711,71,6,0,6,38
BE,201711,45,3,0,2,12
DE,201711,34,35,9,17,95
IT,201711,77,4,3,0,5
CZ,201711,42,4,4,0,4
IT,201711,34,4,0,4,14
RO,201711,15,90,3,72,339
RO,201711,38,7,5,1,10
DK,201711,50,2,0,2,6
RO,201711,32,2,1,0,3
IT,201711,50,75,49,2,105
FR,201711,44,27,4,17,90
FR,201711,03,15,3,10,44
PL,201711,55,2,2,0,2
FR,201711,71,56,5,50,334
CZ,201711,22,6,0,5,32
CZ,201711,34,10,7,2,15
FR,201711,15,43,9,29,402
CZ,201711,31,2,0,2,9
LV,201711,72,4,4,0,4
SE,201711,98,1,0,1,3
DE,201711,71,22,4,15,79
HU,201711,50,4,0,3,11
FR,201711,75,3,0,0,6
SI,201711,33,2,1,1,18
BG,201711,50,3,3,0,3
FR,201711,31,6,0,5,21
ES,201711,77,3,1,0,5
UK,201711,90,6,0,5,21
UK,201711,55,4,2,0,6
FR,201711,39,37,3,24,133
RO,201711,64,1,1,0,1
SK,201711,34,4,1,2,10
DE,201711,51,3,1,2,7
BG,201711,41,1,1,0,1
RO,201711,43,2,0,1,5
DE,201711,09,23,1,21,107
ES,201711,79,34,2,27,98
ES,201711,15,3,1,1,7
PL,201711,24,3,1,0,5
IT,201711,31,1,0,1,11
HU,201711,34,3,0,1,7
SE,201711,71,9,1,8,61
BG,201711,45,5,2,1,11
ES,201711,90,21,3,11,122
RO,201711,34,7,1,2,16
BE,201711,71,49,25,24,97
ES,201711,33,71,22,33,239
AT,201711,33,18,1,14,74
CZ,201711,30,8,4,0,12
ES,201711,35,1,0,0,2
AT,201711,71,3,0,3,14
SE,201711,79,4,0,3,12
DE,201711,77,21,0,16,69
PL,201711,22,1,0,1,8
SE,201711,77,1,0,1,3
ES,201711,48,3,2,1,12
ES,201711,72,32,27,4,51
NL,201711,79,18,1,14,137
DE,201711,39,3,1,0,5
SK,201711,09,1,0,1,5
SK,201711,42,7,0,0,14
NL,201711,18,1,0,1,5
CZ,201711,48,7,1,3,21
FI,201711,42,2,1,0,3
DE,201711,24,2,1,1,5
PL,201711,71,5,0,5,19
PL,201711,79,8,3,5,42
HU,201711,80,1,0,1,5
ES,201711,50,10,1,8,47
CZ,201711,39,2,0,0,4
IT,201711,85,8,8,0,8
CZ,201711,90,4,1,1,9
DE,201711,50,9,4,2,16
NL,201711,30,1,0,1,4
FR,201711,30,2,1,1,6
PT,201711,34,2,0,2,8
CH,201711,79,1,0,1,4
NL,201711,34,2,1,0,3
SE,201711,90,4,0,3,15
NL,201711,72,4,0,4,209
PL,201711,80,37,27,2,51
MK,201711,09,2,1,1,5
CZ,201711,77,1,0,0,2
