country,ym,cpv_division,n,sb,ge3,sum_offers
BE,201707,92,25,24,1,28
CZ,201707,45,138,21,110,884
FR,201707,45,1439,200,966,7759
FR,201707,44,155,36,77,437
MT,201707,45,4,0,3,18
LU,201707,45,16,3,10,63
UK,201707,45,148,22,105,1053
UK,201707,65,3,0,2,18
UK,201707,50,63,5,45,266
BG,201707,45,197,40,127,746
IE,201707,45,17,0,17,367
PL,201707,45,211,43,130,772
DE,201707,45,926,90,686,4477
MT,201707,34,2,0,1,5
FI,201707,45,48,1,44,249
SI,201707,15,2588,1385,712,5825
SI,201707,09,56,33,13,121
SI,201707,33,620,425,140,1430
GR,201707,42,2,0,1,6
FR,201707,43,12,4,3,30
LV,201707,33,513,37,453,5802
HU,201707,09,24,1,18,98
LU,201707,42,3,0,1,7
FR,201707,30,153,14,109,626
FR,201707,34,268,75,125,720
FR,201707,90,376,69,232,1504
FR,201707,31,76,7,58,267
FR,201707,55,106,11,81,529
FR,201707,24,66,17,30,204
IT,201707,33,311,86,166,1780
FR,201707,09,118,10,91,456
FR,201707,38,97,36,42,239
ES,201707,33,299,129,141,2199
FR,201707,15,369,52,251,1245
BG,201707,30,47,11,33,165
BG,201707,33,341,56,254,3403
LV,201707,48,23,2,21,243
BG,201707,41,12,12,0,12
ES,201707,19,5,0,5,31
BG,201707,15,37,6,24,139
BG,201707,34,46,23,11,95
FR,201707,33,857,99,672,32596
UK,201707,42,10,2,8,60
UK,201707,15,21,3,15,65
FR,201707,39,234,21,178,1019
DE,201707,33,808,172,529,3522
BG,201707,09,66,47,4,97
HU,201707,15,33,3,26,107
SE,201707,34,13,1,8,44
BG,201707,03,1,1,0,1
SE,201707,09,4,2,2,12
UK,201707,33,280,8,259,6415
HU,201707,32,7,5,0,9
PL,201707,33,5819,3396,1268,10844
UK,201707,39,24,3,18,223
UK,201707,18,2,0,1,6
SK,201707,09,5,4,1,7
MT,201707,33,3,1,2,22
MT,201707,48,3,0,3,21
IE,201707,33,50,0,50,476
PL,201707,34,150,66,35,281
PL,201707,15,64,13,21,144
PL,201707,44,78,10,49,219
PL,201707,42,31,16,6,54
PL,201707,09,110,53,38,292
PL,201707,39,79,27,45,272
PL,201707,38,52,28,13,95
PL,201707,48,21,13,4,38
