country,ym,cpv_division,n,sb,ge3,sum_offers
FR,201903,71,46,3,36,218
IT,201903,30,7,0,3,20
PT,201903,33,63,62,1,68
ES,201903,90,14,3,7,73
IT,201903,33,13,6,7,31
AT,201903,79,2,0,2,7
UK,201903,60,42,5,33,362
FR,201903,35,2,2,0,2
ES,201903,18,17,5,8,51
UK,201903,35,7,0,1,17
LV,201903,79,2,0,1,5
LV,201903,60,3,0,3,9
CZ,201903,38,20,13,2,30
ES,201903,50,43,16,26,188
ES,201903,72,17,4,5,38
FR,201903,33,52,15,24,311
FR,201903,09,23,1,14,108
IT,201903,71,8,1,6,41
ES,201903,38,3,2,0,4
IT,201903,55,3,2,0,4
ES,201903,79,27,5,18,146
DE,201903,45,141,13,108,749
ES,201903,35,6,4,1,9
CZ,201903,32,1,0,0,2
BG,201903,50,5,4,0,6
PL,201903,45,7,3,3,20
CZ,201903,33,41,28,4,60
BG,201903,79,11,7,4,28
LT,201903,33,62,11,42,346
FR,201903,79,46,3,40,294
RO,201903,65,3,1,2,7
FR,201903,15,113,16,79,442
DE,201903,33,51,21,30,369
IT,201903,92,4,3,1,6
PL,201903,60,2,2,0,2
IT,201903,79,13,4,7,46
UK,201903,85,84,40,34,250
PL,201903,03,2,2,0,2
BG,201903,41,3,3,0,3
ES,201903,85,61,26,2,101
CZ,201903,80,6,1,5,21
GR,201903,34,3,0,0,6
FI,201903,70,1,1,0,1
ES,201903,33,119,35,65,666
DE,201903,34,28,16,7,49
CZ,201903,39,2,0,2,11
DK,201903,34,3,0,3,9
DK,201903,45,3,0,2,10
FR,201903,90,50,8,25,170
FR,201903,72,27,2,20,88
EE,201903,72,1,0,1,4
ES,201903,34,24,11,8,52
RO,201903,79,12,0,10,173
ES,201903,09,6,2,4,20
HU,201903,71,3,0,3,12
LU,201903,71,24,0,0,48
RO,201903,71,43,38,4,54
FR,201903,63,8,1,5,40
UK,201903,72,10,5,4,26
SI,201903,15,336,221,42,555
ES,201903,63,3,0,1,8
GR,201903,71,3,0,3,13
BG,201903,18,1,0,1,3
LV,201903,72,3,2,0,4
SE,201903,45,14,0,13,150
RO,201903,33,180,58,67,485
BE,201903,79,52,2,49,248
ES,201903,45,8,1,5,34
FR,201903,45,218,32,119,935
ES,201903,77,6,0,6,24
DK,201903,72,9,0,9,45
BG,201903,33,15,3,12,118
ES,201903,66,7,2,1,15
LV,201903,45,1,1,0,1
CZ,201903,64,12,0,4,28
CZ,201903,30,6,0,3,28
LV,201903,77,16,2,13,48
IT,201903,18,3,1,0,5
SI,201903,30,5,2,2,13
PT,201903,79,26,0,26,224
GR,201903,37,1,0,1,4
HR,201903,48,3,3,0,3
PL,201903,50,57,48,2,73
BG,201903,09,14,12,2,18
ES,201903,60,11,6,2,21
BG,201903,15,4,0,3,13
PL,201903,31,5,1,2,11
SI,201903,33,71,54,16,286
LV,201903,42,1,0,1,5
HU,201903,33,41,15,12,85
CZ,201903,45,8,1,6,39
SE,201903,98,1,0,0,2
PL,201903,33,966,476,282,1962
LV,201903,33,16,3,9,52
HU,201903,79,29,5,0,53
IT,201903,70,1,1,0,1
RO,201903,50,30,1,25,112
PL,201903,79,9,3,4,22
IT,201903,66,14,3,3,34
FI,201903,60,1,0,1,4
ES,201903,30,5,2,2,16
CH,201903,55,1,0,1,7
NL,201903,79,25,3,18,372
ES,201903,51,1,1,0,1
FR,201903,18,9,5,2,15
LT,201903,77,9,6,0,12
DK,201903,63,1,0,1,3
NL,201903,34,5,1,4,23
SE,201903,79,7,0,7,35
BE,201903,39,24,24,0,24
NL,201903,30,2,0,1,6
FR,201903,98,85,82,2,91
NL,201903,70,2,0,2,7
FR,201903,50,62,30,26,149
ES,201903,64,9,5,3,22
MT,201903,90,1,0,1,4
NL,201903,32,3,1,1,8
FR,201903,77,76,6,54,320
AT,201903,45,22,1,21,292
HR,201903,50,1,0,0,2
SI,201903,90,7,2,4,18
IT,201903,85,6,2,3,38
UK,201903,39,7,0,3,23
CZ,201903,48,2,1,0,3
CZ,201903,79,5,1,3,17
LV,201903,32,1,0,1,3
CZ,201903,71,7,1,2,19
NO,201903,32,1,1,0,1
DE,201903,39,3,1,1,8
CZ,201903,42,3,2,1,6
GR,201903,45,2,0,2,17
SE,201903,15,4,0,3,16
FR,201903,55,6,4,0,8
NO,201903,79,2,0,2,17
RO,201903,45,1,1,0,1
IT,201903,38,6,6,0,6
LV,201903,92,78,78,0,78
SK,201903,30,1,0,1,5
