country,ym,cpv_division,n,sb,ge3,sum_offers
UK,201807,85,1118,455,511,7196
PL,201806,71,25,8,11,63
RO,201806,34,13,9,0,17
SE,201806,60,6,0,6,36
FR,201806,45,153,21,93,557
CH,201807,85,2,1,1,7
LT,201806,33,92,55,35,187
CZ,201806,45,5,1,4,18
DE,201807,16,10,3,4,22
RO,201806,43,3,0,2,8
DE,201806,45,34,6,22,149
MK,201806,50,2,2,0,2
MK,201806,33,9,0,9,54
CZ,201806,39,4,1,1,10
DE,201806,71,17,8,5,37
FR,201806,33,14,6,7,79
UK,201806,85,46,23,18,130
FR,201806,71,13,3,9,47
DK,201806,90,7,0,7,41
RO,201806,18,2,0,1,6
AT,201806,18,1,0,0,2
SI,201806,72,2,1,1,4
UK,201807,33,102,7,94,811
BG,201807,33,337,59,274,5344
BE,201806,79,25,24,1,29
LV,201806,72,3,2,0,4
SE,201807,45,125,9,105,1328
UK,201806,60,6,2,4,23
PT,201806,73,7,0,7,28
LI,201807,45,5,1,3,19
IT,201806,90,3,1,1,6
PL,201806,48,2,1,1,4
SK,201806,63,1,0,0,2
SK,201806,33,4,3,1,6
ES,201806,42,1,0,0,2
NO,201806,71,2,0,2,13
FR,201806,14,3,0,0,6
GR,201806,31,2,0,0,4
DE,201806,51,1,1,0,1
PL,201806,45,15,4,8,44
PL,201806,33,534,323,90,900
RO,201806,33,94,23,53,373
FR,201806,34,11,5,5,30
DE,201806,79,12,0,12,117
DE,201807,09,66,9,48,310
PT,201806,45,12,0,12,127
DE,201807,45,1039,149,680,4292
HR,201806,72,2,2,0,2
SE,201807,72,30,4,20,159
DK,201806,15,1,0,0,2
FR,201806,79,26,3,8,74
PL,201806,85,5,1,4,13
DE,201807,72,50,27,15,141
IT,201806,66,5,0,4,15
RO,201806,15,22,1,20,139
LV,201806,71,1,0,1,3
NL,201807,42,8,4,1,14
FR,201806,90,25,12,8,54
GR,201806,55,2,2,0,2
IT,201806,98,1,0,0,2
SI,201806,15,46,32,11,71
FI,201807,85,31,3,25,140
CZ,201806,71,3,1,2,10
GR,201807,30,12,0,9,38
BG,201807,45,200,39,139,1004
NL,201807,79,217,20,173,1825
LV,201806,33,3,3,0,3
BG,201806,30,3,0,2,8
MT,201807,33,23,4,18,169
DK,201806,24,2,0,1,5
DE,201807,60,540,102,302,1823
SI,201806,32,6,3,2,12
DE,201806,98,2,0,2,6
CZ,201806,30,2,1,1,4
DE,201806,34,33,16,4,54
RO,201806,66,3,2,1,5
UK,201806,80,1,0,1,5
BG,201806,34,8,6,2,14
UK,201806,79,5,0,5,35
IE,201806,90,1,0,1,6
PL,201806,39,5,1,3,17
DE,201806,90,5,1,4,35
RO,201806,14,2,2,0,2
SE,201807,71,140,14,114,1534
DE,201807,44,62,8,37,244
HU,201806,33,2,0,1,5
CY,201806,45,1,0,1,3
SE,201807,33,120,3,110,756
BG,201806,41,1,1,0,1
ES,201806,65,2,0,2,17
FI,201807,72,7,2,2,15
RO,201806,24,2,2,0,2
NL,201807,38,29,27,2,34
UK,201806,45,8,0,8,38
FR,201806,50,15,1,11,43
NL,201807,71,99,1,95,407
FI,201807,71,24,3,18,108
BE,201806,22,2,0,2,8
FR,201806,70,1,1,0,1
PT,201806,72,4,0,3,13
HR,201806,71,3,1,2,9
BG,201807,90,12,8,1,18
HR,201806,24,4,3,1,9
IE,201807,22,2,2,0,2
UK,201807,45,122,17,88,551
IT,201806,71,1,0,0,2
PL,201806,30,2,0,2,6
UK,201807,79,135,18,107,1943
ES,201806,63,3,2,0,4
ES,201806,33,36,16,8,78
DE,201807,90,396,35,318,6611
DK,201806,09,1,0,1,3
DE,201806,22,5,0,5,310
GR,201807,71,4,0,4,28
NL,201807,45,61,8,43,275
PL,201807,43,49,16,24,125
FR,201806,31,4,0,4,13
SE,201806,45,3,0,3,12
DE,201806,31,3,1,1,6
CH,201807,45,122,6,108,685
NO,201807,09,5,0,4,18
NO,201806,45,4,0,4,20
NL,201807,31,8,3,3,22
FR,201806,39,16,2,8,48
UK,201806,37,1,1,0,1
CH,201806,45,1,0,0,2
BG,201806,33,3,0,2,12
DE,201807,38,86,49,21,163
FR,201807,77,177,42,90,576
FR,201806,32,1,0,0,2
SK,201806,90,1,1,0,1
SI,201806,71,4,4,0,4
ES,201806,77,5,0,5,30
NL,201807,33,6,2,3,21
PL,201807,45,236,54,118,674
RO,201806,35,3,2,0,4
RO,201806,45,11,0,11,37
NL,201806,32,2,0,2,10
BG,201806,45,9,3,3,23
NL,201807,66,35,2,7,91
IT,201807,33,630,136,390,16653
DE,201806,38,5,4,1,8
SE,201807,38,10,3,3,20
CZ,201806,34,3,1,0,5
GR,201807,44,9,3,6,27
PL,201806,80,12,0,12,52
SE,201807,90,67,2,56,616
FR,201806,30,12,2,7,43
FR,201806,64,2,1,1,5
GR,201807,45,15,0,14,169
DE,201807,22,60,3,52,3177
DE,201806,63,1,0,0,2
PT,201806,31,6,0,4,24
SE,201807,39,32,9,18,104
NL,201807,09,10,2,6,33
FR,201806,66,7,0,7,35
PT,201807,79,21,3,17,113
FR,201806,72,14,6,5,35
