country,ym,cpv_division,n,sb,ge3,sum_offers
NL,201705,73,1,0,1,20
FR,201705,92,4,1,2,11
SI,201705,09,4,1,3,20
BG,201705,71,10,1,6,44
PL,201705,90,18,8,7,41
ES,201705,98,24,19,1,33
PL,201705,33,578,385,83,926
FR,201705,48,10,6,1,15
DE,201705,45,167,13,128,821
PL,201705,76,1,1,0,1
NL,201705,45,2,0,1,5
PL,201705,55,2,1,0,3
UK,201705,85,72,24,38,340
CZ,201705,79,18,2,6,53
PT,201705,35,48,0,48,480
BE,201705,71,5,0,2,14
PL,201705,79,14,4,9,58
BG,201705,45,5,2,1,9
DE,201705,22,1,0,0,2
FR,201705,79,60,4,50,341
DE,201705,33,20,12,7,51
FR,201705,45,176,12,130,742
HU,201705,71,56,0,52,196
SI,201705,72,2,1,0,3
PL,201705,50,29,10,15,101
CZ,201705,31,6,4,2,10
PL,201705,45,15,5,9,45
BG,201705,33,6,2,3,14
IT,201705,55,6,0,5,26
DE,201705,37,2,0,2,6
RO,201705,90,2,2,0,2
FR,201705,50,53,10,31,252
DE,201705,71,24,4,18,91
SK,201705,33,44,1,35,130
BG,201705,41,2,2,0,2
NL,201705,55,1,0,1,6
FI,201705,71,1,0,1,4
RO,201705,71,2,0,2,7
FR,201705,66,14,4,8,43
FR,201705,30,8,2,2,16
FR,201705,75,1,1,0,1
PL,201705,66,5,2,3,14
UK,201705,90,5,0,3,20
FR,201705,72,13,1,12,250
FR,201705,90,43,5,24,128
FR,201705,33,50,6,41,807
NO,201705,50,1,1,0,1
IT,201705,42,1,1,0,1
BE,201705,79,122,0,120,964
DE,201705,44,11,4,5,33
RO,201705,09,7,0,6,25
PT,201705,15,1,0,1,4
HU,201705,33,38,11,13,90
DE,201705,30,17,4,12,55
DE,201705,85,10,4,4,27
DE,201705,34,39,13,11,83
IT,201705,48,3,2,1,7
SE,201705,48,1,0,1,4
BG,201705,42,5,1,3,19
FR,201705,71,63,4,49,331
SE,201705,35,2,1,1,9
PL,201705,77,24,4,15,80
PT,201705,44,2,0,2,8
SE,201705,55,9,8,1,11
NO,201705,45,7,0,7,51
SE,201705,72,4,1,3,26
PL,201705,72,7,3,1,12
GR,201705,09,6,1,4,19
HU,201705,09,22,10,3,37
SE,201705,45,6,0,6,47
FR,201705,15,19,6,9,58
ES,201705,50,23,10,10,80
FR,201705,38,5,1,2,13
RO,201705,33,22,12,9,65
IT,201705,90,29,13,12,99
PT,201705,39,2,0,2,6
ES,201705,63,1,0,1,3
ES,201705,33,36,15,18,113
DE,201705,60,58,2,45,218
HU,201705,66,5,0,3,13
DE,201705,72,7,5,1,10
NO,201705,35,1,0,1,4
PL,201705,71,8,2,5,32
PL,201705,85,5,3,1,8
FR,201705,44,28,8,12,93
NL,201705,63,1,0,1,6
PL,201705,09,7,0,6,30
SI,201705,64,2,1,1,4
CZ,201705,64,19,1,0,37
IT,201705,50,25,0,25,110
FR,201705,03,15,1,11,65
GR,201705,15,10,0,6,42
DE,201705,80,16,8,4,30
BG,201705,32,1,0,1,3
HU,201705,18,1,1,0,1
ES,201705,71,2,0,2,36
BE,201705,66,9,2,6,28
EE,201705,79,2,1,1,6
FR,201705,42,7,3,2,15
FR,201705,60,10,2,3,29
SE,201705,34,19,6,9,41
DE,201705,38,5,4,1,7
ES,201705,85,31,27,4,50
BG,201705,15,9,0,9,39
UK,201705,72,2,2,0,2
DE,201705,98,9,0,4,39
LT,201705,15,1,0,0,2
NO,201705,72,1,1,0,1
UK,201705,80,2,2,0,2
SE,201705,66,6,1,0,11
FR,201705,09,21,1,19,86
HU,201705,38,4,1,1,8
DE,201705,51,1,0,1,6
NO,201705,44,1,0,1,3
DE,201705,66,1,0,1,9
BG,201705,14,1,0,0,2
NL,201705,33,3,2,0,4
PL,201705,34,11,10,1,15
FR,201705,14,4,0,4,12
SI,201705,80,1,0,1,3
PL,201705,31,1,1,0,1
SE,201705,63,1,0,1,6
IT,201705,72,6,2,4,25
LU,201705,72,120,0,72,456
LV,201705,33,3,2,0,4
UK,201705,55,2,0,2,8
BG,201705,50,4,0,2,10
HR,201705,34,1,1,0,1
IT,201705,98,1,0,1,3
SE,201705,71,29,0,22,201
BG,201705,77,5,0,5,31
HU,201705,85,2,0,0,4
SE,201705,39,23,1,18,159
UK,201705,24,1,0,1,15
PL,201705,30,16,9,5,35
UK,201705,71,5,0,5,201
SE,201705,32,1,0,1,4
MT,201705,72,1,0,1,5
NL,201705,90,17,3,11,75
IT,201705,45,7,0,7,77
ES,201705,79,26,15,9,53
UK,201705,32,3,1,2,11
UK,201705,48,2,1,1,12
IE,201705,30,2,0,2,6
HR,201705,66,2,0,2,10
IT,201705,79,3,0,2,18
HR,201705,33,187,73,74,498
HU,201705,48,4,2,1,7
FR,201705,77,16,0,14,65
BG,201705,34,2,0,2,9
LV,201705,48,5,0,5,17
CY,201705,50,1,1,0,1
IT,201705,85,4,0,4,52
PL,201705,60,3,0,1,8
PT,201705,72,25,0,1,52
DE,201705,79,16,0,15,98
LT,201705,33,5,5,0,5
LT,201705,71,15,9,2,25
FR,201705,39,22,1,19,90
RO,201705,45,6,4,2,10
FR,201705,31,5,0,5,19
BG,201705,72,1,0,0,2
SE,201705,24,1,0,0,2
BG,201705,24,1,1,0,1
PL,201705,18,9,3,1,17
NL,201705,44,2,0,1,5
FR,201705,80,2,0,0,4
BG,201705,39,2,0,2,14
EE,201705,64,1,0,1,3
FR,201705,22,9,1,7,32
IT,201705,44,3,1,2,9
PL,201705,73,5,3,0,7
ES,201705,48,5,1,3,15
IT,201705,33,163,35,97,595
SK,201705,72,2,0,1,5
DE,201705,90,67,7,53,485
CZ,201705,16,1,1,0,1
FR,201705,64,9,2,3,20
DE,201705,42,7,4,3,13
ES,201705,77,3,0,3,62
SE,201705,38,1,1,0,1
DE,201705,19,1,0,1,4
IT,201705,92,2,1,0,3
DE,201705,39,19,2,13,71
ES,201705,90,10,2,6,40
BG,201705,22,7,0,4,26
FI,201705,34,2,0,1,5
DE,201705,75,1,0,1,8
ES,201705,38,1,1,0,1
CZ,201705,71,13,6,4,32
SE,201705,33,3,0,0,6
PT,201705,79,1,0,1,13
PL,201705,64,18,17,1,20
SE,201705,03,1,1,0,1
SE,201705,44,4,0,4,16
PL,201705,48,2,0,2,21
LT,201705,30,2,0,2,8
LV,201705,71,1,0,1,6
FR,201705,34,9,4,3,20
DE,201705,64,4,2,0,6
SE,201705,79,23,0,21,171
BG,201705,44,1,1,0,1
FR,201705,24,3,0,3,16
UK,201705,60,8,1,7,53
UK,201705,79,12,0,12,72
RO,201705,39,2,1,1,6
ES,201705,34,1,1,0,1
ES,201705,64,28,16,3,44
ES,201705,72,6,1,2,15
HU,201705,45,1,0,1,5
SI,201705,15,127,98,9,285
EE,201705,33,30,0,29,225
NL,201705,79,224,6,212,4198
HU,201705,31,20,8,5,37
BG,201705,35,1,0,1,5
EE,201705,71,1,1,0,1
IT,201705,34,14,7,4,31
SE,201705,90,2,0,0,4
