country,ym,cpv_division,n,sb,ge3,sum_offers
AT,201903,63,24,24,0,24
BE,201903,72,71,2,59,246
SE,201903,45,113,7,85,502
HU,201903,45,15,6,8,36
PL,201903,45,134,34,64,411
PT,201903,45,9,4,5,45
DE,201903,45,958,99,695,6716
FR,201903,45,1797,228,1225,9275
AT,201903,45,66,4,55,290
AT,201903,33,8,4,3,16
DE,201903,37,8,3,0,13
DE,201903,43,84,24,35,202
LV,201903,45,9,1,7,38
DE,201903,44,64,21,32,234
DE,201903,42,52,29,10,93
SE,201903,50,25,3,17,135
IT,201903,45,105,4,91,1397
BG,201903,35,3,1,2,7
GR,201903,45,22,15,6,52
RO,201903,45,47,27,9,92
UK,201903,45,137,24,100,1276
BG,201903,45,86,26,44,378
DK,201903,45,45,2,40,181
FI,201903,45,41,1,37,466
FR,201903,32,35,3,27,151
SE,201903,33,235,7,211,4581
RO,201903,33,2516,640,1512,23498
GR,201903,34,26,12,5,46
GR,201903,15,112,20,76,758
SE,201903,42,7,3,1,14
BG,201903,30,35,5,25,127
SE,201903,30,18,1,17,73
CZ,201903,39,37,18,10,72
GR,201903,09,52,25,14,117
PL,201903,33,5836,3067,1436,11682
CZ,201903,45,43,18,19,101
SK,201903,42,36,5,21,89
SK,201903,09,4,1,1,9
ES,201903,09,53,7,38,154
SK,201903,33,79,15,46,232
PL,201903,39,20,13,2,30
CZ,201903,48,24,10,6,48
ES,201903,37,18,1,17,92
ES,201903,50,134,40,77,784
ES,201903,22,32,10,17,207
BG,201903,15,55,14,24,139
DK,201903,33,96,21,53,352
ES,201903,33,604,195,331,3515
PL,201903,38,67,59,3,79
CZ,201903,38,63,49,5,82
HR,201903,33,371,33,174,988
HR,201903,34,20,12,4,32
PL,201903,18,13,13,0,13
PT,201903,33,255,193,50,455
CZ,201903,33,194,118,35,351
PT,201903,31,24,8,8,78
PT,201903,48,3,1,1,6
DE,201903,30,53,7,28,151
DE,201903,31,97,14,76,457
DE,201903,09,194,10,143,947
DE,201903,33,268,146,110,886
FR,201903,44,272,47,160,854
DE,201903,22,20,4,15,566
DE,201903,48,49,17,19,124
DE,201903,38,40,30,3,53
DE,201903,34,273,127,78,1172
FR,201903,15,313,65,159,881
UK,201903,38,88,9,71,588
DE,201903,35,29,7,15,102
DE,201903,18,64,1,59,555
BG,201903,09,114,84,19,197
BE,201903,24,11,1,10,43
BG,201903,33,288,48,225,3553
DE,201903,79,213,29,152,1492
BG,201903,39,29,3,24,186
FR,201903,31,75,19,44,229
UK,201903,34,42,4,28,194
FR,201903,24,36,8,11,97
DE,201903,32,37,7,21,117
BG,201903,41,8,8,0,8
FR,201903,63,20,4,12,84
FR,201903,30,106,23,60,347
DE,201903,14,3,1,1,7
HR,201903,42,1,1,0,1
