country,ym,cpv_division,n,sb,ge3,sum_offers
BE,201809,55,32,25,1,43
BE,201809,90,106,4,47,406
DE,201809,45,821,121,530,4157
CZ,201809,45,52,7,31,176
FI,201809,45,22,2,17,70
SE,201809,65,1,0,1,3
FR,201809,45,1583,235,1054,6990
FR,201809,44,144,22,88,434
BG,201809,45,128,45,71,423
UK,201809,45,134,25,88,790
NL,201809,71,34,4,28,247
AT,201809,45,72,11,52,262
PL,201809,45,168,59,58,403
NL,201809,45,55,20,29,199
SE,201809,45,119,4,99,910
CY,201809,45,1,0,1,5
DE,201809,98,56,30,15,131
HU,201809,45,53,2,29,175
CZ,201809,72,47,24,15,99
RO,201809,33,2171,437,1381,27497
CZ,201809,48,39,23,4,62
DE,201809,35,50,17,12,104
FR,201809,42,35,5,17,115
DK,201809,15,1,0,1,3
FI,201809,09,3,1,2,20
HU,201809,34,53,25,15,105
DE,201809,34,268,99,79,573
LV,201809,39,14,6,6,33
LV,201809,33,79,33,35,291
LT,201809,15,33,2,29,176
PT,201809,33,34,14,16,207
LT,201809,33,558,157,328,3274
BG,201809,24,15,9,3,24
LT,201809,48,2,1,1,4
CZ,201809,09,57,14,41,370
CZ,201809,39,61,27,15,123
HU,201809,15,66,24,28,145
FI,201809,18,2,0,1,10
PL,201809,33,5313,3145,1146,10085
CZ,201809,30,124,94,13,172
RO,201809,34,73,29,33,567
DE,201809,33,712,163,433,3036
FI,201809,14,13,10,0,16
LT,201809,38,8,1,4,24
NL,201809,22,3,1,1,6
AT,201809,34,28,1,13,73
CZ,201809,33,347,230,45,595
PL,201809,43,42,27,6,63
PL,201809,09,134,58,40,279
FR,201809,38,64,28,21,149
PL,201809,30,199,69,71,468
PT,201809,48,2,2,0,2
FR,201809,15,253,33,144,758
DE,201809,30,195,12,174,846
BG,201809,44,22,5,9,48
FR,201809,31,68,16,39,309
FR,201809,22,60,8,39,201
PL,201809,35,17,10,1,27
FR,201809,39,148,27,95,479
FR,201809,60,668,164,345,3390
FR,201809,30,118,17,81,419
FR,201809,34,269,73,121,983
SI,201809,35,6,1,4,27
FR,201809,33,683,67,532,21617
HU,201809,33,199,108,49,388
UK,201809,42,11,5,5,26
GR,201809,39,3,1,2,41
PT,201809,44,5,0,4,17
CY,201809,33,38,19,5,65
HR,201809,15,18,7,3,34
PT,201809,09,34,0,32,218
RO,201809,15,231,38,145,1050
ES,201809,44,8,3,1,14
ES,201809,34,44,9,26,133
HR,201809,33,417,20,292,1424
BE,201809,15,126,4,97,426
SE,201809,39,29,8,19,121
HR,201809,09,13,7,3,24
UK,201809,37,48,8,30,308
UK,201809,22,7,0,5,24
PL,201809,18,46,27,13,117
NL,201809,09,10,3,2,20
DE,201809,03,140,1,139,1530
DE,201809,31,39,9,27,138
BG,201809,34,57,31,10,95
PL,201809,42,37,11,17,91
DE,201809,39,98,36,38,269
UK,201809,15,28,1,14,103
PL,201809,38,100,77,7,131
DE,201809,65,14,4,6,37
BG,201809,30,71,8,54,236
DE,201809,09,118,18,80,510
DE,201809,38,71,47,17,118
BE,201809,45,89,10,23,235
BE,201809,33,67,28,19,135
IT,201809,34,48,16,22,113
FI,201809,39,1,0,1,3
FI,201809,16,3,3,0,3
CZ,201809,37,9,6,2,19
GR,201809,44,7,1,4,19
RO,201809,39,37,11,20,132
SI,201809,30,11,11,0,11
ES,201809,37,15,7,7,51
ES,201809,30,29,3,22,157
FR,201809,55,98,23,61,303
ES,201809,90,98,9,75,585
RO,201809,30,66,26,19,157
ES,201809,35,23,7,9,56
FI,201809,38,2,1,1,4
NL,201809,30,12,2,4,31
ES,201809,39,9,1,4,29
UK,201809,39,19,0,18,118
ES,201809,32,4,1,3,21
FR,201809,09,72,7,49,246
PL,201809,34,108,41,41,245
CY,201809,31,1,0,1,6
DK,201809,33,71,29,26,165
SE,201809,30,22,0,18,110
ES,201809,33,444,155,203,1958
DE,201809,42,57,34,10,95
PL,201809,39,122,48,45,281
BG,201809,42,7,3,1,14
PL,201809,31,26,11,10,61
BG,201809,19,1,1,0,1
DE,201809,32,43,11,21,139
BG,201809,09,63,48,13,119
FR,201809,79,230,35,169,1213
FR,201809,90,247,53,143,870
DE,201809,79,131,18,92,601
CZ,201809,71,65,12,44,280
FR,201809,71,368,32,289,1885
BG,201809,71,63,23,32,241
DE,201809,71,363,72,227,1858
DE,201809,75,19,4,15,78
CZ,201809,85,3,2,0,4
FI,201809,60,61,3,51,262
CZ,201809,50,13,8,3,21
FI,201809,71,26,3,22,117
FI,201809,90,16,2,9,50
SE,201809,60,32,2,25,117
HU,201809,79,22,3,16,106
FI,201809,72,8,4,2,15
FI,201809,79,12,0,10,90
LT,201809,71,12,0,7,58
NL,201809,64,4,1,1,10
SE,201809,90,87,13,59,549
NL,201809,79,188,14,155,1958
NL,201809,72,27,8,16,129
UK,201809,85,939,448,341,4839
DK,201809,90,61,3,54,826
IT,201809,90,117,46,55,425
BG,201809,50,56,24,19,134
SI,201809,90,11,7,4,21
SI,201809,60,88,46,26,185
SK,201809,72,4,3,1,6
UK,201809,60,432,162,206,1885
BG,201809,63,5,0,5,19
IT,201809,55,48,11,24,157
IT,201809,71,41,6,30,235
IT,201809,85,83,19,53,416
PL,201809,71,172,83,49,431
PL,201809,90,240,74,119,685
PL,201809,50,83,51,13,139
PL,201809,66,56,19,21,122
FR,201809,77,99,21,67,420
FR,201809,50,345,93,156,979
PL,201809,77,80,33,31,195
FR,201809,64,77,10,50,328
FR,201809,48,37,14,19,112
FR,201809,75,165,113,39,318
RO,201809,90,28,14,9,128
DE,201809,90,348,20,300,2781
FR,201809,98,16,7,5,32
UK,201809,90,44,2,37,215
PL,201809,72,46,27,9,86
FR,201809,72,132,33,75,544
FR,201809,85,27,9,11,80
UK,201809,48,17,4,10,56
HU,201809,71,35,3,31,208
LV,201809,90,4,1,1,9
SE,201809,79,70,2,58,732
PL,201809,65,46,46,0,46
LV,201809,72,11,7,1,16
IE,201809,64,1,0,1,3
UK,201809,79,147,13,118,2089
LU,201809,50,1,0,0,2
PL,201809,79,157,47,70,426
AT,201809,71,10,1,8,52
LV,201809,77,13,4,6,32
ES,201809,50,168,28,123,833
PL,201809,92,25,17,2,36
SE,201809,22,3,0,3,13
PT,201809,55,14,5,9,43
UK,201809,66,45,2,39,319
RO,201809,60,57,9,30,164
BE,201809,79,129,55,68,296
BE,201809,66,3,1,2,10
IE,201809,90,13,0,13,51
HR,201809,71,30,10,13,73
BG,201809,79,45,15,21,140
RO,201809,79,39,10,18,133
UK,201809,77,33,0,29,199
UK,201809,75,11,4,5,32
PT,201809,64,4,1,2,10
FR,201809,32,40,7,21,120
FR,201809,92,57,19,21,152
DE,201809,60,80,9,63,508
HR,201809,90,9,5,1,14
FR,201809,80,169,68,71,477
DK,201809,71,13,0,11,67
ES,201809,85,46,16,19,146
DE,201809,92,34,28,3,48
