country,ym,cpv_division,n,sb,ge3,sum_offers
AT,201603,72,147,0,145,2313
BE,201603,79,238,3,230,1346
CZ,201603,45,50,33,17,194
DE,201603,45,762,55,648,5567
HU,201603,45,6,2,3,18
DE,201602,45,124,13,101,809
DE,201602,90,35,3,26,267
FR,201603,45,902,93,689,4436
RO,201603,45,11,2,8,49
UK,201603,45,808,16,775,17082
BE,201603,45,31,0,28,163
BE,201603,50,13,2,0,24
BG,201603,45,55,7,40,195
NL,201603,45,64,1,57,354
MT,201603,45,9,0,9,57
UK,201603,71,106,4,96,789
DE,201603,31,31,5,25,95
DE,201603,32,29,5,19,88
ES,201603,65,3,0,2,9
FR,201603,33,481,57,371,21795
PL,201603,33,5891,3016,1778,12159
CZ,201603,33,47,22,14,94
CZ,201603,32,5,1,1,11
FR,201603,44,146,26,75,426
ES,201603,33,146,55,79,1103
CZ,201603,30,30,7,15,74
CZ,201603,09,5,2,3,17
DE,201603,22,17,1,15,556
HR,201603,33,377,115,168,878
FR,201603,03,47,6,29,147
FR,201603,31,36,13,17,83
SK,201603,39,2,0,0,4
SK,201603,09,9,0,7,29
FR,201603,30,104,16,73,372
ES,201603,48,8,5,2,14
CZ,201603,31,8,2,6,25
CZ,201603,34,19,2,12,60
ES,201603,34,21,7,10,62
ES,201603,15,50,10,21,129
ES,201603,72,62,32,22,164
HU,201603,30,2,0,2,8
RO,201603,33,2199,178,1896,32770
RO,201603,09,19,1,17,71
DE,201602,34,18,10,5,36
HU,201603,33,47,10,32,219
FR,201603,18,52,7,33,168
HU,201603,34,31,8,13,96
DE,201603,35,26,4,10,70
HU,201603,38,3,2,0,4
HU,201603,15,27,1,16,86
FR,201603,32,40,10,19,137
UK,201603,33,868,6,857,22032
FR,201603,38,37,18,8,69
FR,201603,15,346,41,247,1672
FR,201603,39,175,23,117,730
FR,201603,24,9,3,5,22
RO,201603,15,56,1,52,373
RO,201603,24,12,1,7,61
RO,201603,18,2,1,0,3
HU,201603,22,3,1,0,5
RO,201603,42,3,2,1,5
FR,201603,35,8,1,4,32
UK,201603,31,31,3,22,133
UK,201603,03,50,7,33,167
DE,201602,42,6,0,5,24
FR,201603,09,70,21,34,176
MT,201603,33,5,0,3,13
NL,201603,30,26,2,14,84
FR,201603,19,10,3,3,21
BE,201603,48,58,30,2,90
NL,201603,34,25,1,18,80
FR,201603,34,205,61,99,574
BG,201603,55,3,2,0,4
BG,201603,15,48,5,31,184
BG,201603,09,18,8,9,57
MT,201603,30,2,0,2,17
UK,201603,48,28,8,14,72
BE,201603,09,13,2,11,43
BE,201603,15,32,0,31,107
NL,201603,03,5,0,3,17
IT,201603,30,8,2,3,18
BE,201603,32,8,3,5,26
UK,201603,44,338,20,178,2544
ES,201603,09,57,7,32,191
IT,201603,33,1043,367,402,2816
BE,201603,37,9,2,5,23
HU,201603,03,4,1,0,7
DE,201603,34,203,59,71,503
DE,201603,38,17,11,3,28
IT,201603,44,6,0,4,18
IT,201603,50,50,10,38,260
CZ,201603,18,5,0,0,10
DK,201603,35,2,1,1,4
FR,201603,42,41,11,25,152
DE,201603,71,291,61,181,1427
AT,201603,51,1,0,1,5
ES,201603,90,91,10,78,652
FR,201603,90,241,43,147,1031
DE,201603,64,18,8,5,33
FR,201603,72,155,20,94,679
DE,201603,79,424,18,402,4472
DE,201603,90,317,13,283,3071
UK,201603,79,834,48,759,31710
AT,201603,50,13,1,11,41
DE,201603,44,33,4,26,209
FR,201603,71,294,14,253,2115
CZ,201603,64,20,5,8,47
DE,201603,92,2,0,2,9
ES,201603,92,24,2,17,90
ES,201603,60,16,5,5,33
