country,ym,cpv_division,n,sb,ge3,sum_offers
DE,201702,45,79,6,63,439
UK,201702,85,90,51,21,176
UK,201702,60,7,2,3,25
BG,201702,71,12,3,8,92
NO,201702,66,4,0,4,16
FR,201702,50,28,3,21,96
FR,201702,77,18,1,13,64
UK,201702,79,8,1,7,68
FR,201702,90,58,6,38,219
PL,201702,33,834,436,198,1603
UK,201702,33,11,0,7,57
PL,201702,50,4,2,2,13
IT,201702,85,11,5,6,59
BE,201702,66,14,0,12,56
SE,201702,71,7,1,6,30
PL,201702,65,3,0,1,7
NL,201702,79,23,6,12,86
UK,201702,63,1,1,0,1
DE,201702,79,16,6,5,33
RO,201702,33,584,105,346,1874
FR,201702,79,35,2,26,150
PL,201702,30,5,3,2,21
FR,201702,72,12,8,2,22
IT,201702,33,97,19,62,367
FR,201702,39,31,5,20,91
UK,201702,80,4,0,4,20
BG,201702,45,16,7,8,54
BG,201702,30,5,0,4,26
ES,201702,72,104,0,100,412
BG,201702,09,37,26,1,53
FR,201702,45,185,17,141,778
HU,201702,33,22,15,3,33
UK,201702,45,2,0,2,6
ES,201702,30,7,1,5,50
ES,201702,66,5,2,3,11
PT,201702,45,1,0,1,10
ES,201702,90,18,3,15,110
HR,201702,34,6,2,0,10
FI,201702,72,3,1,2,11
IT,201702,34,3,2,0,4
FR,201702,44,18,5,6,42
SE,201702,66,2,0,1,10
FR,201702,22,21,0,21,231
HU,201702,09,2,0,1,7
EE,201702,45,3,0,3,19
PL,201702,80,4,1,3,13
UK,201702,32,1,0,1,6
FR,201702,42,19,4,12,87
DE,201702,90,19,1,17,123
FR,201702,31,2,0,2,13
PL,201702,90,5,2,2,11
FR,201702,19,1,0,1,4
DE,201702,44,7,0,6,50
PL,201702,09,30,29,0,31
FI,201702,24,1,0,1,3
RO,201702,15,4,0,3,20
UK,201702,90,8,1,5,29
FI,201702,15,15,1,10,45
ES,201702,50,9,4,4,38
FR,201702,30,19,4,12,77
DK,201702,66,2,1,0,3
FR,201702,98,2,0,2,10
BE,201702,48,4,4,0,4
FR,201702,85,1,0,1,3
HU,201702,71,1,1,0,1
IT,201702,45,6,1,5,70
CZ,201702,60,1,1,0,1
FR,201702,33,42,5,34,601
FR,201702,71,61,2,55,428
RO,201702,32,6,0,5,24
FR,201702,66,20,3,6,53
BG,201702,90,1,0,1,5
BE,201702,45,5,0,5,21
PL,201702,37,2,2,0,2
FR,201702,09,9,1,7,27
DE,201702,80,45,10,25,135
DE,201702,71,11,1,7,36
FI,201702,98,1,1,0,1
IT,201702,90,4,0,2,23
RO,201702,09,7,0,6,43
DK,201702,33,23,0,23,94
ES,201702,77,24,4,15,102
CZ,201702,33,28,13,5,51
CZ,201702,45,8,2,6,38
NO,201702,33,1,0,1,3
SI,201702,15,146,52,65,365
PL,201702,79,16,2,8,48
UK,201702,42,2,0,2,13
FI,201702,38,1,1,0,1
FR,201702,34,17,2,11,64
HR,201702,32,2,2,0,2
SI,201702,33,148,46,68,697
FI,201702,71,4,1,3,21
UK,201702,15,2,0,2,8
IT,201702,98,12,10,2,19
UK,201702,66,2,0,2,18
HU,201702,64,2,0,2,6
AT,201702,45,13,0,12,82
CZ,201702,71,15,2,11,46
NL,201702,09,1,0,1,17
UK,201702,09,5,0,5,22
HR,201702,09,5,0,5,18
MK,201702,85,1,0,1,3
HU,201702,45,7,0,0,14
IT,201702,79,29,0,27,234
CH,201702,45,14,0,14,91
UK,201702,30,2,0,2,17
BG,201702,72,2,2,0,2
PL,201702,77,15,15,0,15
CZ,201702,39,5,1,3,13
FR,201702,48,3,1,2,15
BE,201702,50,2,0,0,4
ES,201702,55,2,0,1,16
UK,201702,51,1,0,0,2
BG,201702,66,4,0,1,9
HR,201702,50,4,0,0,8
IS,201702,33,2,2,0,2
HR,201702,72,2,2,0,2
HR,201702,33,47,41,0,53
HU,201702,79,1,1,0,1
FR,201702,32,6,0,4,20
SI,201702,79,49,24,25,174
DE,201702,33,33,20,5,61
PL,201702,60,6,0,3,16
BE,201702,31,8,0,4,20
SI,201702,34,12,4,1,21
DK,201702,85,6,6,0,6
IT,201702,71,25,0,25,129
UK,201702,31,1,0,0,2
UK,201702,73,1,1,0,1
FR,201702,60,70,6,55,248
UK,201702,98,1,0,1,3
EE,201702,79,4,0,4,24
FR,201702,80,22,0,19,123
SI,201702,72,3,2,0,4
FR,201702,65,1,1,0,1
HR,201702,24,8,8,0,8
ES,201702,45,2,0,1,5
FR,201702,92,15,4,7,68
SI,201702,31,3,1,2,8
EE,201702,65,1,0,0,2
PL,201702,72,1,1,0,1
NO,201702,44,3,0,3,9
EE,201702,09,10,0,10,48
FI,201702,09,1,0,1,10
DK,201702,45,2,0,2,9
CZ,201702,09,6,1,5,30
ES,201702,33,73,15,44,318
UK,201702,18,1,0,1,6
UK,201702,48,3,0,2,12
RO,201702,39,1,1,0,1
BE,201702,90,3,1,2,7
ES,201702,92,2,2,0,2
DE,201702,64,10,1,7,26
SI,201702,30,5,5,0,5
FI,201702,50,1,0,1,8
PL,201702,19,1,1,0,1
PT,201702,33,2,1,1,22
IT,201702,50,14,2,6,44
NL,201702,03,2,0,2,14
PL,201702,24,1,0,0,2
IT,201702,38,2,2,0,2
IT,201702,63,1,0,1,3
HU,201702,15,13,5,5,26
ES,201702,79,66,1,13,181
ES,201702,71,4,0,2,28
FI,201702,34,1,1,0,1
FI,201702,33,7,0,7,98
ES,201702,32,6,2,4,21
HR,201702,60,2,2,0,2
NL,201702,45,15,0,15,109
SI,201702,71,1,1,0,1
PL,201702,42,2,1,0,3
NO,201702,45,2,0,2,9
HU,201702,34,14,0,11,56
FI,201702,37,1,1,0,1
BE,201702,44,2,0,0,4
NL,201702,44,2,0,2,8
SI,201702,90,1,0,1,4
CZ,201702,48,2,0,1,6
PL,201702,71,1,0,1,6
UK,201702,24,2,0,1,5
PL,201702,34,7,0,6,22
BE,201702,79,57,0,57,225
IT,201702,09,9,2,1,17
ES,201702,48,5,3,1,9
PL,201702,85,1,0,1,3
CZ,201702,77,1,0,1,16
IT,201702,80,1,0,1,3
EE,201702,90,1,1,0,1
FR,201702,64,8,1,5,23
FI,201702,45,1,0,1,3
FI,201702,90,1,0,1,4
SE,201702,15,2,0,2,6
UK,201702,35,2,0,2,10
CZ,201702,38,3,1,1,6
CH,201702,31,5,2,1,12
PL,201702,48,2,2,0,2
IT,201702,64,2,1,0,3
FR,201702,18,17,7,5,33
BG,201702,33,11,1,10,97
UK,201702,44,2,0,2,6
BG,201702,34,1,1,0,1
