country,ym,cpv_division,n,sb,ge3,sum_offers
ES,202004,31,41,4,9,113
AT,202004,79,71,8,57,298
BE,202004,79,167,52,87,728
FR,202004,45,667,83,460,2668
DE,202004,45,1259,180,892,5900
AT,202004,45,86,8,61,416
RO,202004,45,594,323,176,1360
HR,202004,45,8,4,2,14
DE,202004,44,47,14,21,142
SI,202004,45,10,5,4,40
PL,202004,45,149,14,112,627
PT,202004,45,9,1,4,37
BG,202004,45,78,27,32,232
SE,202004,45,121,4,106,826
IT,202004,33,1332,410,600,4683
RO,202004,33,17176,4409,9632,83547
HU,202004,33,201,95,62,453
DE,202004,33,431,131,240,1678
PT,202004,09,19,0,14,76
FR,202004,42,24,5,12,61
LV,202004,38,12,2,4,29
LV,202004,33,604,129,310,2177
LV,202004,09,13,2,8,43
FR,202004,30,112,11,81,499
DE,202004,34,319,125,106,915
PL,202004,33,6238,3420,1646,18375
HU,202004,38,23,9,5,44
LV,202004,34,35,9,20,110
GR,202004,44,7,0,5,26
DE,202004,37,3,0,2,18
LT,202004,33,350,208,116,1947
LT,202004,15,2,0,2,6
LV,202004,22,4,3,1,6
BG,202004,22,160,160,0,160
LT,202004,18,31,26,2,38
LT,202004,34,36,6,14,87
IT,202004,30,11,1,8,34
FR,202004,15,391,74,235,1261
BE,202004,34,38,6,29,105
DE,202004,16,6,4,2,10
SE,202004,30,6,0,4,27
DK,202004,33,31,7,10,68
FR,202004,31,32,6,19,127
FR,202004,39,256,28,179,1049
HR,202004,44,3,1,2,12
IT,202004,38,23,18,2,30
CZ,202004,09,69,22,29,384
CZ,202004,38,81,54,11,126
CZ,202004,30,426,307,63,731
CZ,202004,32,30,15,5,52
FR,202004,38,32,12,12,88
RO,202004,15,2165,316,1351,9282
FR,202004,18,74,16,39,214
DE,202004,38,71,48,12,119
BG,202004,09,62,44,18,143
DE,202004,30,88,21,49,306
SK,202004,33,63,43,7,94
DE,202004,48,42,14,19,107
FR,202004,44,100,39,45,238
BE,202004,42,4,3,1,7
FR,202004,33,603,144,314,4724
CZ,202004,39,110,48,45,320
SK,202004,09,6,1,4,18
SI,202004,15,2528,1546,563,4717
SI,202004,38,11,10,0,12
FR,202004,03,34,10,14,78
FR,202004,34,209,58,82,537
HR,202004,33,144,16,56,366
SI,202004,30,190,144,34,601
DE,202004,35,289,277,5,313
PL,202004,09,87,35,22,180
LT,202004,32,8,1,5,22
PL,202004,31,18,10,4,36
NL,202004,31,5,3,1,10
GR,202004,33,60,17,42,869
DE,202004,42,59,25,10,126
GR,202004,15,64,15,45,249
DE,202004,24,24,6,14,58
PL,202004,48,32,18,6,54
LU,202004,33,27,24,0,30
BG,202004,48,3,2,0,4
FI,202004,22,2,0,0,4
BG,202004,33,206,30,161,2945
NL,202004,48,7,2,1,13
HU,202004,44,10,8,1,13
BE,202004,30,16,1,8,44
DE,202004,39,96,24,52,712
SE,202004,16,1,0,0,2
AT,202004,33,16,9,6,31
SI,202004,18,10,10,0,10
PL,202004,39,70,18,31,219
ES,202004,37,4,1,3,16
SI,202004,33,747,561,158,1791
DE,202004,43,73,9,41,592
FI,202004,18,2,1,1,6
FI,202004,34,14,2,7,52
ES,202004,30,5,1,4,28
PT,202004,33,119,63,36,335
SE,202004,33,105,8,89,759
SE,202004,37,6,1,5,26
PL,202004,34,90,28,36,205
BG,202004,38,33,11,12,79
PL,202004,30,96,47,28,199
FR,202004,32,16,3,7,51
DK,202004,38,7,5,0,9
ES,202004,33,379,215,135,1421
FR,202004,22,51,12,33,171
IE,202004,39,5,0,1,11
SE,202004,34,31,8,14,92
DE,202004,32,39,20,10,84
BG,202004,44,15,4,6,38
HU,202004,32,5,0,3,15
DE,202004,18,76,11,60,495
IT,202004,42,10,5,1,16
PL,202004,44,101,32,44,238
IT,202004,24,15,8,6,32
ES,202004,09,34,10,17,106
HU,202004,71,62,17,40,239
PL,202004,77,213,130,33,358
DE,202004,79,143,25,106,835
DE,202004,71,426,77,247,1514
IT,202004,71,43,4,38,415
NL,202004,79,142,25,103,787
PL,202004,72,83,38,22,162
LV,202004,66,3,1,2,7
FR,202004,71,415,40,318,2054
BE,202004,71,22,3,13,91
IT,202004,50,52,16,20,168
RO,202004,77,498,290,99,997
FR,202004,70,18,2,14,62
LV,202004,73,2,2,0,2
FR,202004,79,347,64,205,1782
LV,202004,72,5,2,1,9
LT,202004,77,39,12,15,135
HR,202004,50,8,8,0,8
DE,202004,72,143,55,68,1091
DE,202004,98,57,6,42,205
IT,202004,72,26,13,8,57
FR,202004,90,222,44,116,768
